url;price;address;area_m2;author_name;author_company
https://krisha.kz/a/show/1000956085;55000;Тастак-2, Алматы, Алмалинский р-н, мкр Тастак-2;132.0;Хозяин недвижимости;
https://krisha.kz/a/show/1001428996;60000;Тастак-1 — Брусиловского Кулымбетова, Алматы, Ауэзовский р-н, мкр Тастак-1;90.0;Нигметова Шынсулу;Специалист
https://krisha.kz/a/show/1004694729;200000;Абая — Байзакова, Алматы, Алмалинский р-н;77.0;Хозяин недвижимости;
https://krisha.kz/a/show/1005810399;65000;Аксай-3А — Толе би - Момышулы, Алматы, Ауэзовский р-н, мкр Аксай-3А;100.0;Хозяин недвижимости;
https://krisha.kz/a/show/1007993834;100000;Мкр Аксай, Б. Момышулы — Момышулы Маргулан, Алматы, Ауэзовский р-н;34.0;Хозяин недвижимости;
https://krisha.kz/a/show/1009928237;3000;Аккогершин, Алматы, Ауэзовский р-н, мкр Достык;282.0;Хозяин недвижимости;
https://krisha.kz/a/show/1010256269;100000;Папанина, Алматы, Турксибский р-н;45.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011224845;40000;Мкр Калкаман-2 — Пересечение Сабденова и Ашимова, Алматы, Наурызбайский р-н, мкр Калкаман-2;185.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011237448;90000;Щорса, Алматы, Жетысуский р-н;60.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011444051;50000;Мкр Жетысу-2 — Абая/Саина, Алматы, Ауэзовский р-н, мкр Жетысу-2;180.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011482209;100000;Мкр Тастак-1, Алматы, Ауэзовский р-н, мкр Тастак-1;17.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011482256;110000;Мкр Тастак-1, Алматы, Ауэзовский р-н, мкр Тастак-1;21.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011483112;120000;Пр Рыскулова — Казыбаева, Алматы, Жетысуский р-н;30.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011531990;90000;Аэропорт , Рыбинская — Майлина -Камышинская, Алматы, Турксибский р-н, мкр Алтай-1;20.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011905840;600000;Богенбай батыра — Уг ул. Кастеева, Алматы, Медеуский р-н;135.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011960356;120000;Радостовеуэц, Алматы, Бостандыкский р-н;43.0;Хозяин недвижимости;
https://krisha.kz/a/show/1011991428;199999;ул. Косалка — Гостиница Казахстан, Алматы, Медеуский р-н;250.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012111219;90000;Шевченко — Ади Шарипова 141, Алматы, Алмалинский р-н;200.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012114857;120000;Сулейменова — Жандосова - Алтынсарина, Алматы, Ауэзовский р-н;80.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012390284;120000;Мкр №3, Алматы, Ауэзовский р-н, мкр №3;60.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012404998;55000;Жамбыла — Муратбаева, Алматы, Алмалинский р-н;500.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012511778;85000;Жангельдина — Макатаева, Алматы, Медеуский р-н;100.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012521470;90000;Мкр Жулдыз-2, Алматы, Турксибский р-н, мкр Жулдыз-2;40.0;Хозяин недвижимости;
https://krisha.kz/a/show/1012576927;95000;Мкр №6, Алматы, Ауэзовский р-н, мкр №6;100.0;Хозяин недвижимости;
